INSERT INTO
bookhasauthor(isbn, authorId)
VALUES (1000000001,'1'),
(1000000001,'2'),
(1000000002,'1'),
(1000000003,'3'),
(1000000003,'4'),
(1000000003,'5'),
(1000000004,'3'),
(1000000005,'6'),
(1000000005,'7'),
(1000000006,'6'),
(1000000007,'8'),
(1000000007,'9'),
(1000000008,'8'),
(1000000009,'10'),
(1000000010,'10'),
(1000000011,'11'),
(1000000011,'12'),
(1000000012,'11'),
(1000000013,'13'),
(1000000013,'14'),
(1000000013,'15'),
(1000000014,'13'),
(1000000015,'1'),
(1000000015,'2'),
(1000000016,'1'),
(1000000017,'16'),
(1000000017,'17'),
(1000000018,'16'),
(1000000019,'18'),
(1000000019,'6'),
(1000000020,'18'),
(1000000021,'19'),
(1000000021,'20'),
(1000000022,'19'),
(1000000023,'9'),
(1000000023,'21'),
(1000000023,'22'),
(1000000024,'9'),
(1000000025,'23'),
(1000000026,'23'),
(1000000027,'13'),
(1000000027,'14'),
(1000000028,'13'),
(1000000029,'24'),
(1000000029,'25'),
(1000000030,'24'),
(1000000031,'2'),
(1000000031,'26'),
(1000000031,'16'),
(1000000032,'2'),
(1000000033,'5'),
(1000000033,'18'),
(1000000033,'6'),
(1000000034,'5'),
(1000000035,'20'),
(1000000035,'27'),
(1000000036,'20'),
(1000000037,'9'),
(1000000038,'9'),
(1000000039,'10'),
(1000000039,'28'),
(1000000039,'23'),
(1000000040,'10'),
(1000000041,'12'),
(1000000041,'29'),
(1000000042,'12'),
(1000000043,'15'),
(1000000043,'24'),
(1000000043,'25'),
(1000000044,'15'),
(1000000045,'2'),
(1000000045,'26'),
(1000000046,'2'),
(1000000047,'17'),
(1000000047,'3'),
(1000000047,'4'),
(1000000048,'17'),
(1000000049,'7'),
(1000000050,'7'),
(1000000051,'8'),
(1000000051,'9'),
(1000000051,'21'),
(1000000052,'8'),
(1000000053,'30'),
(1000000053,'10'),
(1000000053,'28'),
(1000000054,'30'),
(1000000055,'12'),
(1000000056,'12'),
(1000000057,'15'),
(1000000057,'24'),
(1000000058,'15'),
(1000000059,'2'),
(1000000059,'26'),
(1000000060,'2'),
(1000000061,'3'),
(1000000062,'3'),
(1000000063,'5'),
(1000000063,'18'),
(1000000064,'5'),
(1000000065,'20'),
(1000000066,'20'),
(1000000067,'21'),
(1000000067,'22'),
(1000000067,'30'),
(1000000068,'21'),
(1000000069,'11'),
(1000000069,'12'),
(1000000069,'29'),
(1000000070,'11'),
(1000000071,'14'),
(1000000072,'14'),
(1000000073,'25'),
(1000000073,'1'),
(1000000073,'2'),
(1000000074,'25'),
(1000000075,'3'),
(1000000076,'3'),
(1000000077,'5'),
(1000000077,'18'),
(1000000077,'6'),
(1000000078,'5'),
(1000000079,'27'),
(1000000079,'8'),
(1000000080,'27'),
(1000000081,'30'),
(1000000081,'10'),
(1000000082,'30'),
(1000000083,'11'),
(1000000083,'12'),
(1000000083,'29'),
(1000000084,'11'),
(1000000085,'24'),
(1000000085,'25'),
(1000000086,'24'),
(1000000087,'16'),
(1000000087,'17'),
(1000000088,'16'),
(1000000089,'5'),
(1000000090,'5'),
(1000000091,'7'),
(1000000092,'7'),
(1000000093,'27'),
(1000000093,'8'),
(1000000094,'27'),
(1000000095,'22'),
(1000000095,'30'),
(1000000096,'22'),
(1000000097,'11'),
(1000000097,'12'),
(1000000097,'29'),
(1000000098,'11'),
(1000000099,'15'),
(1000000099,'24'),
(1000000099,'25'),
(1000000100,'15'),
(1000000101,'2'),
(1000000102,'2'),
(1000000103,'17'),
(1000000104,'17'),
(1000000105,'4'),
(1000000106,'4'),
(1000000107,'18'),
(1000000107,'6'),
(1000000107,'7'),
(1000000108,'18'),
(1000000109,'8'),
(1000000109,'9'),
(1000000110,'8'),
(1000000111,'10'),
(1000000112,'10'),
(1000000113,'11'),
(1000000114,'11'),
(1000000115,'13'),
(1000000116,'13'),
(1000000117,'15'),
(1000000117,'24'),
(1000000117,'25'),
(1000000118,'15'),
(1000000119,'2'),
(1000000119,'26'),
(1000000120,'2'),
(1000000121,'4'),
(1000000121,'5'),
(1000000121,'18'),
(1000000122,'4'),
(1000000123,'7'),
(1000000124,'7'),
(1000000125,'8'),
(1000000125,'9'),
(1000000125,'21'),
(1000000126,'8'),
(1000000127,'28'),
(1000000127,'23'),
(1000000127,'11'),
(1000000128,'28'),
(1000000129,'29'),
(1000000130,'29'),
(1000000131,'24'),
(1000000131,'25'),
(1000000131,'1'),
(1000000132,'24'),
(1000000133,'26'),
(1000000133,'16'),
(1000000134,'26'),
(1000000135,'5'),
(1000000135,'18'),
(1000000136,'5'),
(1000000137,'19'),
(1000000137,'20'),
(1000000138,'19'),
(1000000139,'21'),
(1000000139,'22'),
(1000000140,'21'),
(1000000141,'23'),
(1000000141,'11'),
(1000000142,'23'),
(1000000143,'14'),
(1000000144,'14'),
(1000000145,'1'),
(1000000145,'2'),
(1000000146,'1'),
(1000000147,'16'),
(1000000148,'16'),
(1000000149,'3'),
(1000000150,'3'),
(1000000151,'6'),
(1000000151,'7'),
(1000000152,'6'),
(1000000153,'8'),
(1000000153,'9'),
(1000000154,'8'),
(1000000155,'10'),
(1000000156,'10'),
(1000000157,'11'),
(1000000157,'12'),
(1000000158,'11'),
(1000000159,'13'),
(1000000159,'14'),
(1000000160,'13'),
(1000000161,'25'),
(1000000161,'1'),
(1000000161,'2'),
(1000000162,'25'),
(1000000163,'3'),
(1000000163,'4'),
(1000000164,'3'),
(1000000165,'7'),
(1000000165,'19'),
(1000000165,'20'),
(1000000166,'7'),
(1000000167,'9'),
(1000000168,'9'),
(1000000169,'10'),
(1000000169,'28'),
(1000000169,'23'),
(1000000170,'10'),
(1000000171,'29'),
(1000000172,'29'),
(1000000173,'24'),
(1000000174,'24'),
(1000000175,'1'),
(1000000176,'1'),
(1000000177,'26'),
(1000000177,'16'),
(1000000177,'17'),
(1000000178,'26'),
(1000000179,'18'),
(1000000179,'6'),
(1000000180,'18'),
(1000000181,'20'),
(1000000181,'27'),
(1000000182,'20'),
(1000000183,'9'),
(1000000184,'9'),
(1000000185,'10'),
(1000000185,'28'),
(1000000186,'10'),
(1000000187,'11'),
(1000000187,'12'),
(1000000187,'29'),
(1000000188,'11'),
(1000000189,'14'),
(1000000189,'15'),
(1000000189,'24'),
(1000000190,'14'),
(1000000191,'1'),
(1000000191,'2'),
(1000000191,'26'),
(1000000192,'1'),
(1000000193,'4'),
(1000000193,'5'),
(1000000194,'4'),
(1000000195,'19'),
(1000000196,'19'),
(1000000197,'27'),
(1000000198,'27'),
(1000000199,'22'),
(1000000199,'30'),
(1000000200,'22'),
(1000000201,'11'),
(1000000202,'11'),
(1000000203,'29'),
(1000000204,'29'),
(1000000205,'14'),
(1000000206,'14'),
(1000000207,'1'),
(1000000208,'1'),
(1000000209,'26'),
(1000000209,'16'),
(1000000209,'17'),
(1000000210,'26'),
(1000000211,'4'),
(1000000211,'5'),
(1000000212,'4'),
(1000000213,'6'),
(1000000214,'6'),
(1000000215,'27'),
(1000000215,'8'),
(1000000215,'9'),
(1000000216,'27'),
(1000000217,'22'),
(1000000217,'30'),
(1000000217,'10'),
(1000000218,'22'),
(1000000219,'12'),
(1000000219,'29'),
(1000000219,'13'),
(1000000220,'12'),
(1000000221,'24'),
(1000000221,'25'),
(1000000222,'24'),
(1000000223,'26'),
(1000000224,'26'),
(1000000225,'17'),
(1000000225,'3'),
(1000000226,'17'),
(1000000227,'6'),
(1000000228,'6'),
(1000000229,'20'),
(1000000230,'20'),
(1000000231,'21'),
(1000000231,'22'),
(1000000232,'21'),
(1000000233,'10'),
(1000000233,'28'),
(1000000234,'10'),
(1000000235,'29'),
(1000000235,'13'),
(1000000235,'14'),
(1000000236,'29'),
(1000000237,'24'),
(1000000237,'25'),
(1000000237,'1'),
(1000000238,'24'),
(1000000239,'16'),
(1000000240,'16'),
(1000000241,'4'),
(1000000241,'5'),
(1000000242,'4'),
(1000000243,'7'),
(1000000244,'7'),
(1000000245,'27'),
(1000000246,'27'),
(1000000247,'22'),
(1000000248,'22'),
(1000000249,'23'),
(1000000249,'11'),
(1000000249,'12'),
(1000000250,'23'),
(1000000251,'14'),
(1000000252,'14'),
(1000000253,'24'),
(1000000253,'25'),
(1000000253,'1'),
(1000000254,'24'),
(1000000255,'17'),
(1000000256,'17'),
(1000000257,'18'),
(1000000257,'6'),
(1000000258,'18'),
(1000000259,'19'),
(1000000259,'20'),
(1000000259,'27'),
(1000000260,'19'),
(1000000261,'9'),
(1000000261,'21'),
(1000000261,'22'),
(1000000262,'9'),
(1000000263,'28'),
(1000000264,'28'),
(1000000265,'12'),
(1000000266,'12'),
(1000000267,'14'),
(1000000267,'15'),
(1000000267,'24'),
(1000000268,'14'),
(1000000269,'26'),
(1000000270,'26'),
(1000000271,'3'),
(1000000271,'4'),
(1000000272,'3'),
(1000000273,'18'),
(1000000273,'6'),
(1000000274,'18'),
(1000000275,'20'),
(1000000276,'20'),
(1000000277,'21'),
(1000000277,'22'),
(1000000277,'30'),
(1000000278,'21'),
(1000000279,'11'),
(1000000280,'11'),
(1000000281,'29'),
(1000000281,'13'),
(1000000282,'29'),
(1000000283,'15'),
(1000000284,'15'),
(1000000285,'25'),
(1000000286,'25'),
(1000000287,'16'),
(1000000288,'16'),
(1000000289,'3'),
(1000000289,'4'),
(1000000289,'5'),
